pg_txn_id,approval_no,order_id,merchant_no,approved_at,amount,fee,net_amount,status,method,card_bin
KPAY2026090400227,A90400227,ORD90400227,KPAY-001,2026-09-04 23:56:39,10400,0,10400,PAID,CARD,454619
KPAY2026090400228,A90400228,ORD90400228,KPAY-001,2026-09-04 13:51:01,130800,0,130800,PAID,CARD,455292
KPAY2026090400229,A90400229,ORD90400229,KPAY-001,2026-09-04 15:27:34,130900,0,130900,PAID,CARD,456814
KPAY2026090400230,A90400230,ORD90400230,KPAY-001,2026-09-04 17:29:19,33400,0,33400,PAID,CARD,455716
KPAY2026090400231,A90400231,ORD90400231,KPAY-001,2026-09-04 03:09:04,10400,0,10400,PAID,CARD,459120
KPAY2026090400232,A90400232,ORD90400232,KPAY-001,2026-09-04 01:03:43,15500,0,15500,PAID,CARD,456281
KPAY2026090400233,A90400233,ORD90400233,KPAY-001,2026-09-04 23:57:47,250400,0,250400,PAID,CARD,455540
KPAY2026090400234,A90400234,ORD90400234,KPAY-001,2026-09-04 23:51:57,129100,0,129100,PAID,CARD,451415
KPAY2026090400235,A90400235,ORD90400235,KPAY-001,2026-09-04 09:20:55,250000,0,250000,PAID,CARD,452179
KPAY2026090400236,A90400236,ORD90400236,KPAY-001,2026-09-04 23:53:11,24000,0,24000,PAID,CARD,459006
KPAY2026090400237,A90400237,ORD90400237,KPAY-001,2026-09-04 19:02:44,78600,0,78600,PAID,CARD,458573
KPAY2026090400238,A90400238,ORD90400238,KPAY-001,2026-09-04 12:04:53,24400,0,24400,PAID,CARD,456804
KPAY2026090400239,A90400239,ORD90400239,KPAY-001,2026-09-04 01:43:29,49200,0,49200,PAID,CARD,458569
